[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step   1180/8576 | loss 1.7928 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,815
step   1190/8576 | loss 1.7924 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,845
step   1200/8576 | loss 1.7941 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,695
step   1210/8576 | loss 1.7962 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,819
step   1220/8576 | loss 1.7995 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,826
step   1230/8576 | loss 1.7978 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,672
step   1240/8576 | loss 1.7898 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,803
step   1250/8576 | loss 1.8073 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,761
step   1260/8576 | loss 1.7981 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,639
step   1270/8576 | loss 1.8060 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,866
step   1280/8576 | loss 1.7984 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,712
step   1290/8576 | loss 1.8104 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,836
step   1300/8576 | loss 1.7943 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,811
step   1310/8576 | loss 1.7951 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,854
step   1320/8576 | loss 1.7941 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,888
step   1330/8576 | loss 1.7976 | lr 8.00e-05 | grad_norm 0.38 | tok/s 286,799
step   1340/8576 | loss 1.8019 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,820
step   1350/8576 | loss 1.7892 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,736
step   1360/8576 | loss 1.7970 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,828
step   1370/8576 | loss 1.7894 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,781
step   1380/8576 | loss 1.7933 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,804
step   1390/8576 | loss 1.7842 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,770
step   1400/8576 | loss 1.7759 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,781
step   1410/8576 | loss 1.7766 | lr 8.00e-05 | grad_norm 0.38 | tok/s 286,705
step   1420/8576 | loss 1.7843 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,782
step   1430/8576 | loss 1.7964 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,763
step   1440/8576 | loss 1.7749 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,811
step   1450/8576 | loss 1.7758 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,781
step   1460/8576 | loss 1.7847 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,968
step   1470/8576 | loss 1.7861 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,821
step   1480/8576 | loss 1.7694 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,883
step   1490/8576 | loss 1.7930 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,891
step   1500/8576 | loss 1.7872 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,881
step   1510/8576 | loss 1.7801 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,883
step   1520/8576 | loss 1.7865 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,758
step   1530/8576 | loss 1.7746 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,730
step   1540/8576 | loss 1.7736 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,755
step   1550/8576 | loss 1.7814 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,907
step   1560/8576 | loss 1.7906 | lr 8.00e-05 | grad_norm 0.35 | tok/s 286,896
step   1570/8576 | loss 1.7850 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,815
step   1580/8576 | loss 1.7752 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,699
step   1590/8576 | loss 1.7764 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,811
step   1600/8576 | loss 1.7691 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,742
step   1610/8576 | loss 1.7898 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,775
step   1620/8576 | loss 1.7800 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,918
step   1630/8576 | loss 1.7792 | lr 8.00e-05 | grad_norm 0.29 | tok/s 286,701
step   1640/8576 | loss 1.7902 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,709
