[global batch tokens] : 1,048,576
[world size]           : 8
[grad accum steps]     : 4
[model] loading from /mnt/weka/mmusayelyan/tinyllama_checkpoints/TinyLlama-1.1B-intermediate-step-1431k-3T
[model] total parameters: 1,100,048,384
[optim] decayed tensors    : 156  (1,099,956,224 params)
[optim] non-decayed tensors: 45  (92,160 params)
step   1800/13952 | loss 1.7569 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,103
step   1810/13952 | loss 1.7628 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,292
step   1820/13952 | loss 1.7850 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,186
step   1830/13952 | loss 1.7624 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,298
step   1840/13952 | loss 1.7813 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,197
step   1850/13952 | loss 1.7557 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,199
step   1860/13952 | loss 1.7652 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,259
step   1870/13952 | loss 1.7627 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,289
step   1880/13952 | loss 1.7623 | lr 8.00e-05 | grad_norm 0.36 | tok/s 286,278
step   1890/13952 | loss 1.7712 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,176
step   1900/13952 | loss 1.7696 | lr 8.00e-05 | grad_norm 0.32 | tok/s 285,767
step   1910/13952 | loss 1.7810 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,021
step   1920/13952 | loss 1.7744 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,224
step   1930/13952 | loss 1.7729 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,176
step   1940/13952 | loss 1.7752 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,064
step   1950/13952 | loss 1.7677 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,334
step   1960/13952 | loss 1.7640 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,197
step   1970/13952 | loss 1.7781 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,351
step   1980/13952 | loss 1.7624 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,074
step   1990/13952 | loss 1.7780 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,204
step   2000/13952 | loss 1.7636 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,298
step   2010/13952 | loss 1.7651 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,194
step   2020/13952 | loss 1.7692 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,341
step   2030/13952 | loss 1.7565 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,252
step   2040/13952 | loss 1.7715 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,194
step   2050/13952 | loss 1.7733 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,195
step   2060/13952 | loss 1.7794 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,277
step   2070/13952 | loss 1.7649 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,225
step   2080/13952 | loss 1.7770 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,042
step   2090/13952 | loss 1.7785 | lr 8.00e-05 | grad_norm 0.33 | tok/s 285,959
step   2100/13952 | loss 1.7665 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,118
step   2110/13952 | loss 1.7858 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,250
step   2120/13952 | loss 1.7577 | lr 8.00e-05 | grad_norm 0.30 | tok/s 286,284
step   2130/13952 | loss 1.7694 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,321
step   2140/13952 | loss 1.7654 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,159
step   2150/13952 | loss 1.7628 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,162
step   2160/13952 | loss 1.7734 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,257
step   2170/13952 | loss 1.7597 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,282
step   2180/13952 | loss 1.7744 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,156
step   2190/13952 | loss 1.7688 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,023
step   2200/13952 | loss 1.7689 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,176
step   2210/13952 | loss 1.7808 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,252
step   2220/13952 | loss 1.7689 | lr 8.00e-05 | grad_norm 0.33 | tok/s 286,282
step   2230/13952 | loss 1.7517 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,260
step   2240/13952 | loss 1.7588 | lr 8.00e-05 | grad_norm 0.37 | tok/s 286,343
step   2250/13952 | loss 1.7688 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,282
step   2260/13952 | loss 1.7657 | lr 8.00e-05 | grad_norm 0.34 | tok/s 286,255
step   2270/13952 | loss 1.7533 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,279
step   2280/13952 | loss 1.7645 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,304
step   2290/13952 | loss 1.7697 | lr 8.00e-05 | grad_norm 0.31 | tok/s 286,088
step   2300/13952 | loss 1.7585 | lr 8.00e-05 | grad_norm 0.32 | tok/s 286,260
